"activity" "subjectid" "Means" "measuredfeature"
1 1 3.62462374987863 "tBodyAcc.mean.X"
1 1 16.1464219827168 "tBodyAcc.mean.Y"
1 1 0.274347260646063 "tBodyAcc.mean.Z"
1 1 -0.0177434918458972 "tBodyAcc.std.X"
1 1 -0.108925032737064 "tBodyAcc.std.Y"
1 1 -0.607783818968688 "tBodyAcc.std.Z"
1 1 -0.510191378479501 "tGravityAcc.mean.X"
1 1 -0.61306429934125 "tGravityAcc.mean.Y"
1 1 0.669226222373046 "tGravityAcc.mean.Z"
1 1 0.00403879092060517 "tGravityAcc.std.X"
1 1 0.0921508600211059 "tGravityAcc.std.Y"
1 1 -0.965207115039421 "tGravityAcc.std.Z"
1 1 -0.95440802665318 "tBodyAccJerk.mean.X"
1 1 -0.938900969424022 "tBodyAccJerk.mean.Y"
1 1 0.0789381220355816 "tBodyAccJerk.mean.Z"
1 1 0.0079481069090025 "tBodyAccJerk.std.X"
1 1 -0.00467469823628666 "tBodyAccJerk.std.Y"
1 1 -0.63978102073413 "tBodyAccJerk.std.Z"
1 1 -0.607971599340832 "tBodyGyro.mean.X"
1 1 -0.762820240449202 "tBodyGyro.mean.Y"
1 1 -0.0309824871713436 "tBodyGyro.mean.Z"
1 1 -0.0747194855994359 "tBodyGyro.std.X"
1 1 0.088357304227173 "tBodyGyro.std.Y"
1 1 -0.721192598029789 "tBodyGyro.std.Z"
1 1 -0.682653506899942 "tBodyGyroJerk.mean.X"
1 1 -0.653665674372188 "tBodyGyroJerk.mean.Y"
1 1 -0.0967092754729682 "tBodyGyroJerk.mean.Z"
1 1 -0.0423181079782632 "tBodyGyroJerk.std.X"
1 1 -0.0548303497968374 "tBodyGyroJerk.std.Y"
1 1 -0.731348533131935 "tBodyGyroJerk.std.Z"
1 1 -0.786062320321895 "tBodyAccMag.mean"
1 1 -0.739932395222129 "tBodyAccMag.std"
1 1 -0.54822165976717 "tGravityAccMag.mean"
1 1 -0.591225327146546 "tGravityAccMag.std"
1 1 -0.54822165976717 "tBodyAccJerkMag.mean"
1 1 -0.591225327146546 "tBodyAccJerkMag.std"
1 1 -0.649417950650692 "tBodyGyroMag.mean"
1 1 -0.627762945785391 "tBodyGyroMag.std"
1 1 -0.60524856977632 "tBodyGyroJerkMag.mean"
1 1 -0.662533062898382 "tBodyGyroJerkMag.std"
1 1 -0.762137610987416 "fBodyAcc.mean.X"
1 1 -0.77799317279698 "fBodyAcc.mean.Y"
1 1 -0.622761658493734 "fBodyAcc.mean.Z"
1 1 -0.53749328145871 "fBodyAcc.std.X"
1 1 -0.665033506271952 "fBodyAcc.std.Y"
1 1 -0.603356276555826 "fBodyAcc.std.Z"
1 1 -0.528420009576204 "fBodyAcc.meanFreq.X"
1 1 -0.617874813333395 "fBodyAcc.meanFreq.Y"
1 1 -0.2214691368263 "fBodyAcc.meanFreq.Z"
1 1 0.015400588735675 "fBodyAccJerk.mean.X"
1 1 0.0473098698476722 "fBodyAccJerk.mean.Y"
1 1 -0.656713524546605 "fBodyAccJerk.mean.Z"
1 1 -0.628961179980356 "fBodyAccJerk.std.X"
1 1 -0.743608246170053 "fBodyAccJerk.std.Y"
1 1 -0.654979816705833 "fBodyAccJerk.std.Z"
1 1 -0.612243590244114 "fBodyAccJerk.meanFreq.X"
1 1 -0.780928428167213 "fBodyAccJerk.meanFreq.Y"
1 1 -0.0477062917542325 "fBodyAccJerk.meanFreq.Z"
1 1 -0.213392904926883 "fBodyGyro.mean.X"
1 1 -0.123828014584147 "fBodyGyro.mean.Y"
1 1 -0.672094306818974 "fBodyGyro.mean.Z"
1 1 -0.70621663959074 "fBodyGyro.std.X"
1 1 -0.644192752866115 "fBodyGyro.std.Y"
1 1 -0.738594816501343 "fBodyGyro.std.Z"
1 1 -0.674226934551517 "fBodyGyro.meanFreq.X"
1 1 -0.690446312501126 "fBodyGyro.meanFreq.Y"
1 1 -0.101042702224631 "fBodyGyro.meanFreq.Z"
